abandonar 
quejar 
quemadura 
queroseno 
rabiar 
radiador 
radiante 
radiar 
ramo 
rana 
ranciar 
rápido 
raptar 
raro 
rascacielos 
rata 
rebelde 
recado 
rechazar 
recogedor 
recompensar 
reconocer 
recuerdo 
refrigerio 
regalar 
rehén 
reinar 
relajar 
relámpago 
reloj 
repisar 
reptil 
repugnante 
rescatar 
resentir 
reservar 
respetar 
respetuoso 
respuesta 
restaurante 
retrasar 
reunión 
reverente 
revólver 
revolver 
rey 
rifle 
rígido 
reñir 
reír 
riqueza 
risa 
roca 
rojo 
romántico 
roña 
ropa 
romper 
rubio 
ruidoso 
sabio 
sabor 
salud 
saludar 
saludar 
salvador 
sangriento 
santo 
sarampión 
satisfacer 
secador 
sedar 
seguro 
seno 
sentimiento 
seriar 
serpiente 
sexar 
sexy 
sífilis 
silbato 
silla 
simpático 
snob 
sobrecoger 
sobresaltar 
sociable 
soga 
sol 
solear 
soledad 
solemne 
solitario 
solo 
sombra 
sombrero 
sonajero 
sorprender 
soso 
sospechoso 
spray 
suave 
suburbio 
suciedad 
sucio 
soñar 
suicidio 
sustentar 
tabaco 
tablero 
taburete 
talento 
tanque 
tarta 
taxi 
tela 
temeroso 
temor 
temperamental 
tenedor 
tenis 
tensar 
tenue 
teoría 
termita 
termómetro 
terrible 
terrorista 
tesoro 
tiburón 
tiempo 
tierno 
tierra 
tieso 
tijera 
tímido 
tintar 
tobillo 
tobogán 
tolerante 
tonada 
tontería 
tonto 
tormenta 
tornar 
torpe 
torrar 
torturar 
tóxico 
tragedia 
traicionar 
traidor 
trampolín 
tranquilo 
traumar 
travesía 
travesura 
triste 
triunfante 
triunfar 
trofeo 
trompeta 
tumbar 
tumor 
turbio 
úlcera 
unidad 
utensilio 
útil 
vacar 
vacación 
vacilar 
vagina 
valiente 
vampiro 
vándalo 
vanidad 
vehículo 
velero 
veloz 
vencedor 
vencer 
vendar 
veneno 
ventaja 
ventana 
verdad 
verde 
vergonzoso 
vertedero 
vestir 
viaje 
víctima 
victimismo 
victoria 
vida 
vidriar 
vigilante 
vigoroso 
venir 
violación 
violentar 
violín 
virgen 
virtud 
viruela 
visión 
vívido 
vivir 
volcán 
vómito 
yate 
zafiro 
zurrar 
